driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Justin Haley,4172,Chv,7,82,26,112.763,23.944,Spire Motorsports,False,False,25,37,green
Carson Hocevar,4326,Chv,77,133,22,112.758,23.945,Spire Motorsports,False,False,15,15,green
Ryan Blaney,4023,Frd,12,247,6,112.758,23.945,Team Penske,False,False,20,3,green
Cody Ware,4125,Frd,51,359,33,112.758,23.945,Rick Ware Racing,False,False,37,32,green
Corey Heim,4387,Tyt,67,127,38,112.758,23.945,23XI Racing,False,True,32,29,green
John Hunter Nemechek,4092,Tyt,42,278,34,112.758,23.945,Legacy Motor Club,False,False,34,36,pitting in
Zane Smith,4272,Frd,38,246,13,112.754,23.946,Front Row Motorsports,False,False,29,11,green
John Hunter Nemechek,4092,Tyt,42,41,23,112.754,23.946,Legacy Motor Club,False,False,34,36,green
Michael McDowell,3832,Chv,71,354,19,112.754,23.946,Spire Motorsports,False,False,10,17,green
Kyle Larson,4030,Chv,5,242,10,112.749,23.947,Hendrick Motorsports,False,False,30,6,green
Christopher Bell,4153,Tyt,20,133,12,112.749,23.947,Joe Gibbs Racing,False,False,8,21,green
Austin Cindric,4180,Frd,2,242,12,112.749,23.947,Team Penske,False,False,13,5,green
Jesse Love,4463,Chv,33,288,36,112.744,23.948,Richard Childress Racing,False,True,35,33,green
Ricky Stenhouse Jr.,3888,Chv,47,269,32,112.740,23.949,HYAK Motorsports,False,False,36,23,green
Ross Chastain,4001,Chv,1,190,9,112.735,23.950,Trackhouse Racing,False,False,33,19,green
Ricky Stenhouse Jr.,3888,Chv,47,309,30,112.735,23.950,HYAK Motorsports,False,False,36,23,green
Joey Logano,3859,Frd,22,180,5,112.730,23.951,Team Penske,False,False,38,4,green
Jesse Love,4463,Chv,33,287,36,112.730,23.951,Richard Childress Racing,False,True,35,33,green
Chris Buescher,3989,Frd,17,42,25,112.730,23.951,RFK Racing,False,False,12,30,green
Jesse Love,4463,Chv,33,365,35,112.725,23.952,Richard Childress Racing,False,True,35,33,green
Jesse Love,4463,Chv,33,360,35,112.721,23.953,Richard Childress Racing,False,True,35,33,green
Riley Herbst,4269,Tyt,35,81,32,112.721,23.953,23XI Racing,False,False,26,31,green
Josh Berry,4123,Frd,21,354,11,112.721,23.953,Wood Brothers Racing,False,False,17,8,green
Kyle Busch,454,Chv,8,83,30,112.721,23.953,Richard Childress Racing,False,False,28,16,green
Austin Cindric,4180,Frd,2,245,13,112.721,23.953,Team Penske,False,False,13,5,green
Josh Berry,4123,Frd,21,83,12,112.716,23.954,Wood Brothers Racing,False,False,17,8,green
Austin Cindric,4180,Frd,2,87,5,112.711,23.955,Team Penske,False,False,13,5,green
Christopher Bell,4153,Tyt,20,44,10,112.707,23.956,Joe Gibbs Racing,False,False,8,21,green
Noah Gragson,4224,Frd,4,83,24,112.707,23.956,Front Row Motorsports,False,False,22,27,green
Ross Chastain,4001,Chv,1,244,23,112.707,23.956,Trackhouse Racing,False,False,33,19,green
Chase Briscoe,4228,Tyt,19,244,25,112.702,23.957,Joe Gibbs Racing,False,False,19,13,green
Austin Dillon,3873,Chv,3,219,4,112.702,23.957,Richard Childress Racing,False,False,11,1,green
Ty Dillon,4013,Chv,10,297,21,112.702,23.957,Kaulig Racing,False,False,16,20,green
Tyler Reddick,4065,Tyt,45,216,26,112.702,23.957,23XI Racing,False,False,2,34,green
Erik Jones,4059,Tyt,43,243,23,112.697,23.958,Legacy Motor Club,False,False,18,26,green
Jesse Love,4463,Chv,33,283,36,112.697,23.958,Richard Childress Racing,False,True,35,33,green
AJ Allmendinger,3774,Chv,16,243,28,112.697,23.958,Kaulig Racing,False,False,3,22,green
Ty Dillon,4013,Chv,10,189,26,112.693,23.959,Kaulig Racing,False,False,16,20,restart
Austin Dillon,3873,Chv,3,133,1,112.693,23.959,Richard Childress Racing,False,False,11,1,green
Justin Haley,4172,Chv,7,135,32,112.693,23.959,Spire Motorsports,False,False,25,37,green
Chase Briscoe,4228,Tyt,19,352,12,112.693,23.959,Joe Gibbs Racing,False,False,19,13,green
Kyle Larson,4030,Chv,5,42,19,112.688,23.960,Hendrick Motorsports,False,False,30,6,green
Ryan Blaney,4023,Frd,12,248,6,112.688,23.960,Team Penske,False,False,20,3,green
Alex Bowman,4045,Chv,48,217,6,112.688,23.960,Hendrick Motorsports,False,False,9,2,green
Corey Heim,4387,Tyt,67,306,36,112.683,23.961,23XI Racing,False,True,32,29,green
Noah Gragson,4224,Frd,4,188,30,112.683,23.961,Front Row Motorsports,False,False,22,27,caution
Ross Chastain,4001,Chv,1,241,22,112.683,23.961,Trackhouse Racing,False,False,33,19,restart
Chase Elliott,4062,Chv,9,131,20,112.678,23.962,Hendrick Motorsports,False,False,5,38,green
Bubba Wallace,4025,Tyt,23,44,11,112.678,23.962,23XI Racing,False,False,7,28,green
Chris Buescher,3989,Frd,17,80,20,112.678,23.962,RFK Racing,False,False,12,30,restart
Daniel Suarez,4113,Chv,99,48,18,112.678,23.962,Trackhouse Racing,False,False,21,7,green
Daniel Suarez,4113,Chv,99,180,4,112.678,23.962,Trackhouse Racing,False,False,21,7,green
Joey Logano,3859,Frd,22,217,8,112.678,23.962,Team Penske,False,False,38,4,green
Ty Gibbs,4368,Tyt,54,141,37,112.674,23.963,Joe Gibbs Racing,False,False,23,18,green
William Byron,4184,Chv,24,84,8,112.669,23.964,Hendrick Motorsports,False,False,14,12,green
Ricky Stenhouse Jr.,3888,Chv,47,364,25,112.669,23.964,HYAK Motorsports,False,False,36,23,green
Ty Dillon,4013,Chv,10,45,36,112.664,23.965,Kaulig Racing,False,False,16,20,green
Chris Buescher,3989,Frd,17,356,23,112.664,23.965,RFK Racing,False,False,12,30,green
Joey Logano,3859,Frd,22,5,35,112.664,23.965,Team Penske,False,False,38,4,green
Austin Dillon,3873,Chv,3,251,1,112.664,23.965,Richard Childress Racing,False,False,11,1,green
Noah Gragson,4224,Frd,4,127,31,112.664,23.965,Front Row Motorsports,False,False,22,27,green
Kyle Busch,454,Chv,8,243,17,112.660,23.966,Richard Childress Racing,False,False,28,16,green
Cody Ware,4125,Frd,51,361,33,112.655,23.967,Rick Ware Racing,False,False,37,32,green
Tyler Reddick,4065,Tyt,45,190,28,112.655,23.967,23XI Racing,False,False,2,34,green
Kyle Busch,454,Chv,8,371,22,112.655,23.967,Richard Childress Racing,False,False,28,16,green
Ryan Blaney,4023,Frd,12,301,2,112.655,23.967,Team Penske,False,False,20,3,green
Ryan Preece,4070,Frd,60,157,35,112.655,23.967,RFK Racing,False,False,1,35,green
Cole Custer,4104,Frd,41,134,30,112.655,23.967,Haas Factory Team,False,False,24,24,green
Kyle Busch,454,Chv,8,368,26,112.655,23.967,Richard Childress Racing,False,False,28,16,green
Daniel Suarez,4113,Chv,99,221,2,112.650,23.968,Trackhouse Racing,False,False,21,7,green
Jesse Love,4463,Chv,33,41,30,112.650,23.968,Richard Childress Racing,False,True,35,33,green
Ryan Preece,4070,Frd,60,158,34,112.650,23.968,RFK Racing,False,False,1,35,green
Shane Van Gisbergen,4469,Chv,88,245,14,112.650,23.968,Trackhouse Racing,False,False,27,14,green
Kyle Busch,454,Chv,8,334,26,112.650,23.968,Richard Childress Racing,False,False,28,16,green
Carson Hocevar,4326,Chv,77,7,12,112.650,23.968,Spire Motorsports,False,False,15,15,green
Erik Jones,4059,Tyt,43,298,19,112.650,23.968,Legacy Motor Club,False,False,18,26,green
Joey Logano,3859,Frd,22,216,8,112.650,23.968,Team Penske,False,False,38,4,green
Austin Dillon,3873,Chv,3,134,1,112.646,23.969,Richard Childress Racing,False,False,11,1,green
Zane Smith,4272,Frd,38,245,15,112.646,23.969,Front Row Motorsports,False,False,29,11,green
Ty Dillon,4013,Chv,10,343,25,112.641,23.970,Kaulig Racing,False,False,16,20,green
Ross Chastain,4001,Chv,1,344,22,112.641,23.970,Trackhouse Racing,False,False,33,19,green
Kyle Larson,4030,Chv,5,303,17,112.641,23.970,Hendrick Motorsports,False,False,30,6,green
Tyler Reddick,4065,Tyt,45,87,3,112.636,23.971,23XI Racing,False,False,2,34,green
Todd Gilliland,4231,Frd,34,46,35,112.636,23.971,Front Row Motorsports,False,False,31,25,green
Zane Smith,4272,Frd,38,134,23,112.636,23.971,Front Row Motorsports,False,False,29,11,green
Ricky Stenhouse Jr.,3888,Chv,47,316,28,112.636,23.971,HYAK Motorsports,False,False,36,23,green
Ryan Blaney,4023,Frd,12,358,2,112.636,23.971,Team Penske,False,False,20,3,green
Erik Jones,4059,Tyt,43,246,22,112.636,23.971,Legacy Motor Club,False,False,18,26,green
Austin Dillon,3873,Chv,3,301,4,112.636,23.971,Richard Childress Racing,False,False,11,1,green
